COUNTRY,COICOP_1999,TIME_PERIOD,OBS_VALUE
ABW,Aggregate,2016-Q1,92.5616666666667
ABW,Aggregate,2016-Q2,92.6743333333333
ABW,Aggregate,2016-Q3,93.041
ABW,Aggregate,2016-Q4,93.1516666666667
ABW,Aggregate,2017-Q1,91.8646666666667
ABW,Aggregate,2017-Q2,91.9836666666667
ABW,Aggregate,2017-Q3,91.5873333333333
ABW,Aggregate,2017-Q4,92.1736666666667
ABW,Aggregate,2018-Q1,93.8236666666667
ABW,Aggregate,2018-Q2,94.9413333333333
ABW,Aggregate,2018-Q3,96.0736666666667
ABW,Aggregate,2018-Q4,96.1003333333334
ABW,Aggregate,2019-Q1,96.9723333333333
ABW,Aggregate,2019-Q2,99.341
ABW,Aggregate,2019-Q3,99.9516666666667
ABW,Aggregate,2019-Q4,100.892333333333
AFG,Aggregate,2016-Q1,104.1501299502927
AFG,Aggregate,2016-Q2,104.4628319781447
AFG,Aggregate,2016-Q3,106.0956718960093
AFG,Aggregate,2016-Q4,108.237156207979
AFG,Aggregate,2017-Q1,109.359581728175
AFG,Aggregate,2017-Q2,111.972747203847
AFG,Aggregate,2017-Q3,110.8512450328147
AFG,Aggregate,2017-Q4,111.8077934743183
AFG,Aggregate,2018-Q1,112.255173386692
AFG,Aggregate,2018-Q2,110.793724243533
AFG,Aggregate,2018-Q3,110.92292541314
AFG,Aggregate,2018-Q4,112.7995925653933
AFG,Aggregate,2019-Q1,113.196783678816
AFG,Aggregate,2019-Q2,115.425743021644
AFG,Aggregate,2019-Q3,113.709752668509
AFG,Aggregate,2019-Q4,114.7254785183943
AFG,Aggregate,2020-Q1,117.1982355668787
AFG,Aggregate,2020-Q2,123.6139961020447
AFG,Aggregate,2020-Q3,120.496677307551
AFG,Aggregate,2020-Q4,121.3527122137383
AFG,Aggregate,2021-Q1,122.1447401483313
AFG,Aggregate,2021-Q2,124.4722186041503
AFG,Aggregate,2021-Q3,126.807115361975
AFG,Aggregate,2021-Q4,134.013549865005
AFG,Aggregate,2022-Q1,140.187900815379
AFG,Aggregate,2022-Q2,144.533441281032
AFG,Aggregate,2022-Q3,147.3686272329837
AFG,Aggregate,2022-Q4,144.928021124208
AFG,Aggregate,2023-Q1,144.3688423074517
AFG,Aggregate,2023-Q2,139.5326093860967
AFG,Aggregate,2023-Q3,134.4048758844033
AFG,Aggregate,2023-Q4,131.9108580264543
AFG,Aggregate,2024-Q1,130.432813806446
AFG,Aggregate,2024-Q2,129.8238867733
AFG,Aggregate,2024-Q3,126.1697480910827
