COUNTRY,COICOP_1999,TIME_PERIOD,OBS_VALUE
ABW,Food and non-alcoholic beverages,2016-Q1,117.399
ABW,Food and non-alcoholic beverages,2016-Q2,116.139333333333
ABW,Food and non-alcoholic beverages,2016-Q3,115.752333333333
ABW,Food and non-alcoholic beverages,2016-Q4,118.36
ABW,Food and non-alcoholic beverages,2017-Q1,125.015
ABW,Food and non-alcoholic beverages,2017-Q2,124.585333333333
ABW,Food and non-alcoholic beverages,2017-Q3,124.117333333333
ABW,Food and non-alcoholic beverages,2017-Q4,126.006666666667
ABW,Food and non-alcoholic beverages,2018-Q1,134.935333333333
ABW,Food and non-alcoholic beverages,2018-Q2,141.295
ABW,Food and non-alcoholic beverages,2018-Q3,139.643
ABW,Food and non-alcoholic beverages,2018-Q4,141.042
ABW,Food and non-alcoholic beverages,2019-Q1,149.206333333333
ABW,Food and non-alcoholic beverages,2019-Q2,159.636666666667
ABW,Food and non-alcoholic beverages,2019-Q3,160.777333333333
ABW,Food and non-alcoholic beverages,2019-Q4,158.688666666667
ABW,Housing,2016-Q1,106.087
ABW,Housing,2016-Q2,106.048333333333
ABW,Housing,2016-Q3,106.172
ABW,Housing,2016-Q4,106.285
ABW,Housing,2017-Q1,100.910666666667
ABW,Housing,2017-Q2,101.250333333333
ABW,Housing,2017-Q3,101.269333333333
ABW,Housing,2017-Q4,101.246333333333
ABW,Housing,2018-Q1,101.184666666667
ABW,Housing,2018-Q2,101.212333333333
ABW,Housing,2018-Q3,101.466
ABW,Housing,2018-Q4,101.739333333333
ABW,Housing,2019-Q1,102.121
ABW,Housing,2019-Q2,102.560666666667
ABW,Housing,2019-Q3,102.876333333333
ABW,Housing,2019-Q4,103.040666666667
ABW,Health,2016-Q1,74.6996666666667
ABW,Health,2016-Q2,76.2946666666667
ABW,Health,2016-Q3,76.1876666666667
ABW,Health,2016-Q4,75.3543333333333
ABW,Health,2017-Q1,77.106
ABW,Health,2017-Q2,77.5383333333333
ABW,Health,2017-Q3,77.6833333333333
ABW,Health,2017-Q4,77.6426666666667
ABW,Health,2018-Q1,78.971
ABW,Health,2018-Q2,80.7393333333333
ABW,Health,2018-Q3,85.7473333333333
ABW,Health,2018-Q4,85.8013333333333
ABW,Health,2019-Q1,85.118
ABW,Health,2019-Q2,85.459
ABW,Health,2019-Q3,85.0363333333333
ABW,Health,2019-Q4,84.3776666666667
ABW,Transport,2016-Q1,85.6956666666667
ABW,Transport,2016-Q2,87.379
ABW,Transport,2016-Q3,88.6906666666667
ABW,Transport,2016-Q4,87.7696666666667
ABW,Transport,2017-Q1,90.5163333333333
ABW,Transport,2017-Q2,90.662
ABW,Transport,2017-Q3,90.2566666666667
ABW,Transport,2017-Q4,92.5013333333333
ABW,Transport,2018-Q1,94.65
ABW,Transport,2018-Q2,97.02
ABW,Transport,2018-Q3,100.091
ABW,Transport,2018-Q4,99.229
ABW,Transport,2019-Q1,96.02
ABW,Transport,2019-Q2,99.3393333333333
ABW,Transport,2019-Q3,99.6786666666667
ABW,Transport,2019-Q4,100.213666666667
ABW,Recreation and Culture,2016-Q1,86.8776666666667
ABW,Recreation and Culture,2016-Q2,86.2443333333333
ABW,Recreation and Culture,2016-Q3,87.1826666666667
ABW,Recreation and Culture,2016-Q4,86.5656666666667
ABW,Recreation and Culture,2017-Q1,78.7993333333333
ABW,Recreation and Culture,2017-Q2,80.0173333333333
ABW,Recreation and Culture,2017-Q3,76.248
ABW,Recreation and Culture,2017-Q4,76.555
ABW,Recreation and Culture,2018-Q1,79.9293333333333
ABW,Recreation and Culture,2018-Q2,79.564
ABW,Recreation and Culture,2018-Q3,81.2623333333333
ABW,Recreation and Culture,2018-Q4,78.66
ABW,Recreation and Culture,2019-Q1,77.1673333333333
ABW,Recreation and Culture,2019-Q2,81.0116666666667
ABW,Recreation and Culture,2019-Q3,83.061
ABW,Recreation and Culture,2019-Q4,90.7156666666667
ABW,Restaurants and hotels,2016-Q1,107.100666666667
ABW,Restaurants and hotels,2016-Q2,107.519666666667
ABW,Restaurants and hotels,2016-Q3,107.853
ABW,Restaurants and hotels,2016-Q4,107.720666666667
ABW,Restaurants and hotels,2017-Q1,108.531
ABW,Restaurants and hotels,2017-Q2,108.881333333333
ABW,Restaurants and hotels,2017-Q3,109.437666666667
ABW,Restaurants and hotels,2017-Q4,110.06
ABW,Restaurants and hotels,2018-Q1,110.475
ABW,Restaurants and hotels,2018-Q2,110.484
ABW,Restaurants and hotels,2018-Q3,113.600333333333
ABW,Restaurants and hotels,2018-Q4,114.227333333333
ABW,Restaurants and hotels,2019-Q1,115.201333333333
ABW,Restaurants and hotels,2019-Q2,116.008
ABW,Restaurants and hotels,2019-Q3,117.19
ABW,Restaurants and hotels,2019-Q4,118.273666666667
AFG,Food and non-alcoholic beverages,2016-Q1,104.78336534313
AFG,Food and non-alcoholic beverages,2016-Q2,105.453234615909
AFG,Food and non-alcoholic beverages,2016-Q3,107.0930348487713
AFG,Food and non-alcoholic beverages,2016-Q4,108.82242936399
AFG,Food and non-alcoholic beverages,2017-Q1,111.534115043284
AFG,Food and non-alcoholic beverages,2017-Q2,116.3392410920533
AFG,Food and non-alcoholic beverages,2017-Q3,113.7286677589217
AFG,Food and non-alcoholic beverages,2017-Q4,114.11956816491
AFG,Food and non-alcoholic beverages,2018-Q1,114.5187570969593
AFG,Food and non-alcoholic beverages,2018-Q2,111.994159566672
AFG,Food and non-alcoholic beverages,2018-Q3,110.711921644819
AFG,Food and non-alcoholic beverages,2018-Q4,113.4792878006047
AFG,Food and non-alcoholic beverages,2019-Q1,115.4072918819083
AFG,Food and non-alcoholic beverages,2019-Q2,118.717079733054
AFG,Food and non-alcoholic beverages,2019-Q3,115.9220363308513
AFG,Food and non-alcoholic beverages,2019-Q4,117.6677014131237
AFG,Food and non-alcoholic beverages,2020-Q1,122.1290673410807
AFG,Food and non-alcoholic beverages,2020-Q2,135.4782031074003
AFG,Food and non-alcoholic beverages,2020-Q3,128.6776611812877
AFG,Food and non-alcoholic beverages,2020-Q4,128.2896492756903
AFG,Food and non-alcoholic beverages,2021-Q1,128.7971574578217
AFG,Food and non-alcoholic beverages,2021-Q2,132.4168297479007
AFG,Food and non-alcoholic beverages,2021-Q3,134.9614155928977
AFG,Food and non-alcoholic beverages,2021-Q4,146.8365318567443
AFG,Food and non-alcoholic beverages,2022-Q1,155.9614258914807
AFG,Food and non-alcoholic beverages,2022-Q2,164.629798702261
AFG,Food and non-alcoholic beverages,2022-Q3,164.3998768020327
AFG,Food and non-alcoholic beverages,2022-Q4,160.5872643422517
AFG,Food and non-alcoholic beverages,2023-Q1,160.457756671011
AFG,Food and non-alcoholic beverages,2023-Q2,153.43085018203
AFG,Food and non-alcoholic beverages,2023-Q3,144.0427639080817
AFG,Food and non-alcoholic beverages,2023-Q4,138.8651081400323
AFG,Food and non-alcoholic beverages,2024-Q1,137.3533256776337
AFG,Food and non-alcoholic beverages,2024-Q2,136.3256588456277
AFG,Food and non-alcoholic beverages,2024-Q3,129.5781297529733
AFG,Food and non-alcoholic beverages,2024-Q4,129.2458340844617
AFG,Housing,2016-Q1,101.5347513456573
AFG,Housing,2016-Q2,101.119071023354
AFG,Housing,2016-Q3,102.9932792018977
AFG,Housing,2016-Q4,108.1384078025237
AFG,Housing,2017-Q1,106.7810606404977
AFG,Housing,2017-Q2,107.5128252512197
AFG,Housing,2017-Q3,107.6942437080467
AFG,Housing,2017-Q4,110.1550390088043
AFG,Housing,2018-Q1,110.1730748869353
AFG,Housing,2018-Q2,108.3595424668733
AFG,Housing,2018-Q3,109.9384267521953
AFG,Housing,2018-Q4,110.042713979617
AFG,Housing,2019-Q1,107.0879135048343
AFG,Housing,2019-Q2,108.1496773988567
AFG,Housing,2019-Q3,105.8769628971383
AFG,Housing,2019-Q4,106.4610976281217
AFG,Housing,2020-Q1,106.3920786241747
AFG,Housing,2020-Q2,104.4778556015347
AFG,Housing,2020-Q3,104.985165648173
AFG,Housing,2020-Q4,107.9360159397623
AFG,Housing,2021-Q1,107.9277633993703
AFG,Housing,2021-Q2,108.059414362744
AFG,Housing,2021-Q3,108.9563458005403
AFG,Housing,2021-Q4,108.8924202592767
AFG,Housing,2022-Q1,107.824504139071
AFG,Housing,2022-Q2,105.1244286717693
AFG,Housing,2022-Q3,106.856440025837
AFG,Housing,2022-Q4,105.4412532029087
AFG,Housing,2023-Q1,105.3436654941893
AFG,Housing,2023-Q2,100.914883222472
AFG,Housing,2023-Q3,99.8819689973885
AFG,Housing,2023-Q4,101.277902104411
AFG,Housing,2024-Q1,102.5720961368
AFG,Housing,2024-Q2,102.1927755379593
AFG,Housing,2024-Q3,102.7788063667357
AFG,Housing,2024-Q4,111.0059260465603
AFG,Health,2016-Q1,102.0843700157793
AFG,Health,2016-Q2,103.4546341245403
AFG,Health,2016-Q3,105.0008106926067
AFG,Health,2016-Q4,105.261309979128
AFG,Health,2017-Q1,105.2835229111133
AFG,Health,2017-Q2,106.3272713840683
AFG,Health,2017-Q3,106.0903142551463
AFG,Health,2017-Q4,106.045477389991
AFG,Health,2018-Q1,106.4183004340673
AFG,Health,2018-Q2,106.490331431466
AFG,Health,2018-Q3,106.6044158929363
AFG,Health,2018-Q4,107.2677130031833
AFG,Health,2019-Q1,108.926700352825
AFG,Health,2019-Q2,111.1436796882517
AFG,Health,2019-Q3,112.6141000842967
AFG,Health,2019-Q4,113.447389339118
AFG,Health,2020-Q1,114.674851097767
AFG,Health,2020-Q2,118.4500220196023
AFG,Health,2020-Q3,121.868166634215
AFG,Health,2020-Q4,121.2280372718933
AFG,Health,2021-Q1,121.2349943076363
AFG,Health,2021-Q2,120.984623011014
AFG,Health,2021-Q3,121.5099625282043
AFG,Health,2021-Q4,125.1791676283893
AFG,Health,2022-Q1,135.2589240895773
AFG,Health,2022-Q2,138.1998037928847
AFG,Health,2022-Q3,139.7601553199203
AFG,Health,2022-Q4,141.9143108066963
