Rank,CCA3,Country/Territory,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Year,Population
36,AFG,Afghanistan,652230,63.0587,1.0257,0.52,2022,41128771
138,ALB,Albania,28748,98.8702,0.9957,0.04,2022,2842321
34,DZA,Algeria,2381741,18.8531,1.0164,0.56,2022,44903225
213,ASM,American Samoa,199,222.4774,0.9831,0.0,2022,44273
203,AND,Andorra,468,170.5641,1.01,0.0,2022,79824
42,AGO,Angola,1246700,28.5466,1.0315,0.45,2022,35588987
224,AIA,Anguilla,91,174.2527,1.0066,0.0,2022,15857
201,ATG,Antigua and Barbuda,442,212.1335,1.0058,0.0,2022,93763
33,ARG,Argentina,2780400,16.3683,1.0052,0.57,2022,45510318
140,ARM,Armenia,29743,93.4831,0.9962,0.03,2022,2780469
198,ABW,Aruba,180,591.3611,0.9991,0.0,2022,106445
55,AUS,Australia,7692024,3.4032,1.0099,0.33,2022,26177413
99,AUT,Austria,83871,106.5877,1.002,0.11,2022,8939617
91,AZE,Azerbaijan,86600,119.6082,1.0044,0.13,2022,10358074
176,BHS,Bahamas,13943,29.4043,1.0051,0.01,2022,409984
154,BHR,Bahrain,765,1924.4876,1.0061,0.02,2022,1472233
8,BGD,Bangladesh,147570,1160.035,1.0108,2.15,2022,171186372
186,BRB,Barbados,430,654.9651,1.0015,0.0,2022,281635
96,BLR,Belarus,207600,45.9295,0.9955,0.12,2022,9534954
81,BEL,Belgium,30528,381.8111,1.0038,0.15,2022,11655930
177,BLZ,Belize,22966,17.6466,1.0131,0.01,2022,405272
77,BEN,Benin,112622,118.5635,1.0274,0.17,2022,13352864
206,BMU,Bermuda,54,1188.5926,1.0,0.0,2022,64184
165,BTN,Bhutan,38394,20.3796,1.0064,0.01,2022,782455
80,BOL,Bolivia,1098581,11.1272,1.012,0.15,2022,12224110
137,BIH,Bosnia and Herzegovina,51209,63.1437,0.9886,0.04,2022,3233526
144,BWA,Botswana,582000,4.5194,1.0162,0.03,2022,2630296
7,BRA,Brazil,8515767,25.2841,1.0046,2.7,2022,215313498
221,VGB,British Virgin Islands,151,207.3179,1.0059,0.0,2022,31305
175,BRN,Brunei,5765,77.8841,1.0081,0.01,2022,449002
108,BGR,Bulgaria,110879,61.1654,0.9849,0.09,2022,6781953
58,BFA,Burkina Faso,272967,83.0641,1.0259,0.28,2022,22673762
78,BDI,Burundi,27834,463.0874,1.027,0.16,2022,12889576
73,KHM,Cambodia,181035,92.6221,1.0108,0.21,2022,16767842
53,CMR,Cameroon,475442,58.7128,1.0263,0.35,2022,27914536
39,CAN,Canada,9984670,3.8513,1.0078,0.48,2022,38454327
171,CPV,Cape Verde,4033,147.0739,1.0089,0.01,2022,593149
205,CYM,Cayman Islands,264,260.25,1.0084,0.0,2022,68706
117,CAF,Central African Republic,622984,8.9555,1.0224,0.07,2022,5579144
69,TCD,Chad,1284000,13.8032,1.0316,0.22,2022,17723315
65,CHL,Chile,756102,25.9274,1.0057,0.25,2022,19603733
1,CHN,China,9706961,146.8933,1.0,17.88,2022,1425887337
28,COL,Colombia,1141748,45.4339,1.0069,0.65,2022,51874024
163,COM,Comoros,1862,449.3953,1.0184,0.01,2022,836774
223,COK,Cook Islands,236,72.0805,1.0005,0.0,2022,17011
124,CRI,Costa Rica,51100,101.3861,1.0052,0.06,2022,5180829
130,HRV,Croatia,56594,71.2153,0.9927,0.05,2022,4030358
85,CUB,Cuba,109884,102.0366,0.9961,0.14,2022,11212191
189,CUW,Curacao,444,430.5473,1.0043,0.0,2022,191163
158,CYP,Cyprus,9251,135.2814,1.0059,0.02,2022,1251488
88,CZE,Czech Republic,78865,133.0627,0.9984,0.13,2022,10493986
115,DNK,Denmark,43094,136.4984,1.0048,0.07,2022,5882261
160,DJI,Djibouti,23200,48.3125,1.0138,0.01,2022,1120849
204,DMA,Dominica,751,96.8535,1.0045,0.0,2022,72737
84,DOM,Dominican Republic,48671,230.7087,1.01,0.14,2022,11228821
15,COD,DR Congo,2344858,42.2244,1.0325,1.24,2022,99010212
67,ECU,Ecuador,276841,65.0229,1.0114,0.23,2022,18001000
14,EGY,Egypt,1002450,110.7188,1.0158,1.39,2022,110990103
112,SLV,El Salvador,21041,301.145,1.0035,0.08,2022,6336392
152,GNQ,Equatorial Guinea,28051,59.7094,1.0247,0.02,2022,1674908
132,ERI,Eritrea,117600,31.3268,1.0176,0.05,2022,3684032
156,EST,Estonia,45227,29.3201,0.998,0.02,2022,1326062
159,SWZ,Eswatini,17364,69.2047,1.0079,0.02,2022,1201670
12,ETH,Ethiopia,1104300,111.7268,1.0257,1.55,2022,123379924
231,FLK,Falkland Islands,12173,0.3105,1.0043,0.0,2022,3780
209,FRO,Faroe Islands,1393,38.112,1.0038,0.0,2022,53090
162,FJI,Fiji,18272,50.8847,1.0056,0.01,2022,929766
118,FIN,Finland,338424,16.3722,1.0009,0.07,2022,5540745
23,FRA,France,551695,117.1419,1.0015,0.81,2022,64626628
184,GUF,French Guiana,83534,3.6459,1.0239,0.0,2022,304557
183,PYF,French Polynesia,4167,73.5011,1.0074,0.0,2022,306279
146,GAB,Gabon,267668,8.9252,1.0204,0.03,2022,2388992
142,GMB,Gambia,10689,253.1567,1.025,0.03,2022,2705992
131,GEO,Georgia,69700,53.7214,0.9964,0.05,2022,3744385
19,DEU,Germany,357114,233.4544,0.9995,1.05,2022,83369843
47,GHA,Ghana,238533,140.3406,1.0196,0.42,2022,33475870
219,GIB,Gibraltar,6,5441.5,0.9994,0.0,2022,32649
90,GRC,Greece,131990,78.68,0.9942,0.13,2022,10384971
208,GRL,Greenland,2166086,0.0261,1.004,0.0,2022,56466
193,GRD,Grenada,344,364.6453,1.0066,0.0,2022,125438
178,GLP,Guadeloupe,1628,243.0909,0.9992,0.0,2022,395752
191,GUM,Guam,549,312.8852,1.0073,0.0,2022,171774
68,GTM,Guatemala,108889,163.8725,1.0134,0.22,2022,17843908
207,GGY,Guernsey,78,811.5513,1.0037,0.0,2022,63301
75,GIN,Guinea,245857,56.3716,1.0242,0.17,2022,13859341
149,GNB,Guinea-Bissau,36125,58.2856,1.0218,0.03,2022,2105566
164,GUY,Guyana,214969,3.7621,1.0052,0.01,2022,808726
82,HTI,Haiti,27750,417.4773,1.012,0.15,2022,11584996
89,HND,Honduras,112492,92.7431,1.015,0.13,2022,10432860
104,HKG,Hong Kong,1104,6783.3922,0.9992,0.09,2022,7488865
94,HUN,Hungary,93028,107.1431,1.0265,0.12,2022,9967308
179,ISL,Iceland,103000,3.6204,1.0069,0.0,2022,372899
2,IND,India,3287590,431.0675,1.0068,17.77,2022,1417173173
4,IDN,Indonesia,1904569,144.6529,1.0064,3.45,2022,275501339
17,IRN,Iran,1648195,53.7258,1.0071,1.11,2022,88550570
35,IRQ,Iraq,438317,101.5158,1.0221,0.56,2022,44496122
125,IRL,Ireland,70273,71.4799,1.0073,0.06,2022,5023109
202,IMN,Isle of Man,572,147.7605,1.003,0.0,2022,84519
98,ISR,Israel,20770,435.1617,1.0155,0.11,2022,9038309
25,ITA,Italy,301336,195.9191,0.9966,0.74,2022,59037474
52,CIV,Ivory Coast,322463,87.3295,1.0248,0.35,2022,28160542
139,JAM,Jamaica,10991,257.2447,0.9999,0.04,2022,2827377
11,JPN,Japan,377930,327.9753,0.9947,1.55,2022,123951692
195,JEY,Jersey,116,954.9828,1.0106,0.0,2022,110778
83,JOR,Jordan,89342,126.3221,1.0123,0.14,2022,11285869
66,KAZ,Kazakhstan,2724900,7.1188,1.0105,0.24,2022,19397998
27,KEN,Kenya,580367,93.0919,1.0193,0.68,2022,54027487
192,KIR,Kiribati,811,161.815,1.0183,0.0,2022,131232
129,KWT,Kuwait,17818,239.5821,1.0044,0.05,2022,4268873
110,KGZ,Kyrgyzstan,199951,33.1612,1.0158,0.08,2022,6630623
103,LAO,Laos,236800,31.7968,1.0141,0.09,2022,7529475
151,LVA,Latvia,64559,28.666,0.9876,0.02,2022,1850651
119,LBN,Lebanon,10452,525.2334,0.9816,0.07,2022,5489739
147,LSO,Lesotho,30355,75.962,1.0107,0.03,2022,2305825
121,LBR,Liberia,111369,47.6136,1.021,0.07,2022,5302681
107,LBY,Libya,1759540,3.8717,1.0114,0.09,2022,6812341
216,LIE,Liechtenstein,160,245.7937,1.0074,0.0,2022,39327
141,LTU,Lithuania,65300,42.1142,0.9869,0.03,2022,2750055
168,LUX,Luxembourg,2586,250.425,1.0129,0.01,2022,647599
167,MAC,Macau,30,23172.2667,1.0125,0.01,2022,695168
50,MDG,Madagascar,587041,50.4423,1.0241,0.37,2022,29611714
62,MWI,Malawi,118484,172.22,1.0259,0.26,2022,20405317
45,MYS,Malaysia,330803,102.5934,1.0109,0.43,2022,33938221
174,MDV,Maldives,300,1745.9567,1.0045,0.01,2022,523787
59,MLI,Mali,1240192,18.2178,1.0314,0.28,2022,22593590
173,MLT,Malta,316,1687.6139,1.0124,0.01,2022,533286
215,MHL,Marshall Islands,181,229.663,0.9886,0.0,2022,41569
180,MTQ,Martinique,1128,325.8041,0.9965,0.0,2022,367507
126,MRT,Mauritania,1030700,4.5951,1.0263,0.06,2022,4736139
157,MUS,Mauritius,2040,636.9946,1.0004,0.02,2022,1299469
182,MYT,Mayotte,374,871.9278,1.0319,0.0,2022,326101
10,MEX,Mexico,1964375,64.9082,1.0063,1.6,2022,127504125
194,FSM,Micronesia,702,162.6268,1.0091,0.0,2022,114164
135,MDA,Moldova,33846,96.7026,1.0691,0.04,2022,3272996
217,MCO,Monaco,2,18234.5,0.9941,0.0,2022,36469
134,MNG,Mongolia,1564110,2.1727,1.0151,0.04,2022,3398366
169,MNE,Montenegro,13812,45.4012,0.9988,0.01,2022,627082
230,MSR,Montserrat,102,43.0392,0.9939,0.0,2022,4390
40,MAR,Morocco,446550,83.883,1.0103,0.47,2022,37457971
48,MOZ,Mozambique,801590,41.1302,1.0278,0.41,2022,32969517
26,MMR,Myanmar,676578,80.0784,1.0071,0.68,2022,54179306
145,NAM,Namibia,825615,3.1092,1.0146,0.03,2022,2567012
225,NRU,Nauru,21,603.2381,1.0125,0.0,2022,12668
49,NPL,Nepal,147181,207.5511,1.0171,0.38,2022,30547580
71,NLD,Netherlands,41850,419.6897,1.0036,0.22,2022,17564014
185,NCL,New Caledonia,18575,15.6097,1.0075,0.0,2022,289950
123,NZL,New Zealand,270467,19.1716,1.0108,0.07,2022,5185288
106,NIC,Nicaragua,130373,53.2962,1.0143,0.09,2022,6948392
54,NER,Niger,1267000,20.6851,1.0378,0.33,2022,26207977
6,NGA,Nigeria,923768,236.5759,1.0241,2.74,2022,218541212
232,NIU,Niue,260,7.4385,0.9985,0.0,2022,1934
56,PRK,North Korea,120538,216.2755,1.0038,0.33,2022,26069416
150,MKD,North Macedonia,25713,81.4218,0.9954,0.03,2022,2093599
210,NFK,Northern Mariana Islands,464,106.7909,1.0014,0.0,2022,49551
120,NOR,Norway,323802,16.7828,1.0058,0.07,2022,5434319
127,OMN,Oman,309500,14.7861,1.0123,0.06,2022,4576298
5,PAK,Pakistan,881912,267.4018,1.0191,2.96,2022,235824862
222,PLW,Palau,459,39.3355,1.0017,0.0,2022,18055
122,PSE,Palestine,6220,844.063,1.0227,0.07,2022,5250072
128,PAN,Panama,75417,58.4561,1.0132,0.06,2022,4408581
93,PNG,Papua New Guinea,462840,21.9139,1.0194,0.13,2022,10142619
109,PRY,Paraguay,406752,16.6705,1.0115,0.09,2022,6780744
44,PER,Peru,1285216,26.4933,1.0099,0.43,2022,34049588
